Nome,CPF,Endereço,Telefone,Email,Endereço coleta,Endereço entrega,Peso (kg),Volume (m³),Prioridade
Dr. José Albuquerque,41833698861,"Vale Lívia Silva, 8
Novo Aarão Reis
22400-859 Aparecida do Galho / AM",+55 51 4645 5276,ana-clara17@example.net,"Vale Lívia Silva, 8
Novo Aarão Reis
22400-859 Aparecida do Galho / AM","Morro Isadora Rezende, 266
Beija Flor
30520758 Barbosa / PE",5000,5,não
Davi Luiz Moura,24195469703,"Pátio Borges, 7
Baleia
27823699 Aragão de Duarte / PR",31 2051 3099,davida-rocha@example.org,"Pátio Borges, 7
Baleia
27823699 Aragão de Duarte / PR","Sítio de Borges, 31
Belvedere
93946-935 Camargo / RS",9000,5,sim
Maria Alice Vieira,78952912032,"Esplanada Sousa, 42
Boa Vista
57351165 Fonseca / TO",+55 84 1278-4480,da-cunhacecilia@example.com,"Esplanada Sousa, 42
Boa Vista
57351165 Fonseca / TO","Estação Lima, 92
Havaí
64853-972 Souza do Oeste / SE",7000,1,não
Lunna Santos,88945755860,"Rua Nascimento, 1
Santa Amelia
49369-790 Barros da Praia / RS",0800-106-1087,fernandonascimento@example.net,"Rua Nascimento, 1
Santa Amelia
49369-790 Barros da Praia / RS","Vale de Dias
Lourdes
82376485 Teixeira / AC",2000,5,sim
Gustavo Henrique Vasconcelos,94170514401,"Travessa Enzo Gabriel Moraes, 348
Miramar
91012172 Andrade de Pires / GO",41 2368 4157,sophiecampos@example.org,"Travessa Enzo Gabriel Moraes, 348
Miramar
91012172 Andrade de Pires / GO","Distrito de Duarte, 39
Minaslandia
24606441 Montenegro de das Neves / RO",6000,4,sim
Elisa Albuquerque,56432564440,"Trevo de Monteiro, 98
São Francisco Das Chagas
07868588 Cardoso de Costela / RJ",+55 84 9679-5555,maria-vitoriada-conceicao@example.com,"Trevo de Monteiro, 98
São Francisco Das Chagas
07868588 Cardoso de Costela / RJ","Parque João Miguel Nogueira, 96
Maria Virgínia
61889464 Fogaça / AP",9000,3,sim
Vitor Camargo,10666587498,"Rodovia de Porto, 514
Vila Santo Antônio Barroquinha
02125334 Siqueira de Barros / AL",21 9128-0485,vnovais@example.org,"Rodovia de Porto, 514
Vila Santo Antônio Barroquinha
02125334 Siqueira de Barros / AL","Sítio Ester da Cunha, 50
Ventosa
71384266 Andrade das Pedras / RO",9000,4,sim
Yasmin Novaes,97653292537,"Morro de Araújo, 79
Silveira
63497-031 Pacheco / CE",+55 51 2113 0296,melissamoura@example.com,"Morro de Araújo, 79
Silveira
63497-031 Pacheco / CE","Condomínio de Dias, 97
Vila Real 1ª Seção
80607729 Porto / AM",2000,4,sim
Sr. Benjamim Nogueira,53876060035,"Alameda Aurora Novais, 195
Santa Lúcia
67268-076 Machado / SP",+55 (041) 5456-4399,fcampos@example.org,"Alameda Aurora Novais, 195
Santa Lúcia
67268-076 Machado / SP","Aeroporto de Gomes, 886
Fernão Dias
48366408 das Neves / CE",8000,5,sim
Emanuella Cardoso,38627869352,"Rua Rodrigues, 5
Pedreira Padro Lopes
49056935 Marques de Minas / TO",(051) 0310 9537,ppinto@example.org,"Rua Rodrigues, 5
Pedreira Padro Lopes
49056935 Marques de Minas / TO","Praça Campos, 79
Jardim América
26819414 Alves Verde / RS",2000,3,sim
Amanda Azevedo,36917096726,"Trevo de Ribeiro, 11
Barreiro
94525-515 Barros / AP",+55 (011) 3192 9724,pcardoso@example.net,"Trevo de Ribeiro, 11
Barreiro
94525-515 Barros / AP","Esplanada de Peixoto
Dona Clara
82935539 Correia / AL",3000,1,não
Sr. José Campos,32027055551,"Quadra Melina Pastor, 84
Castelo
37659-403 Porto de Goiás / AL",(061) 6755 0857,pdias@example.org,"Quadra Melina Pastor, 84
Castelo
37659-403 Porto de Goiás / AL","Loteamento Moraes, 54
Ouro Minas
14437-563 Cardoso / PB",4000,1,não
Pietra Correia,55112804531,"Rodovia de Sampaio
Ipiranga
18791174 Borges / PB",(031) 3486-3111,fda-rocha@example.org,"Rodovia de Sampaio
Ipiranga
18791174 Borges / PB","Distrito Caroline Oliveira
Castelo
54973551 Montenegro do Oeste / PB",9000,3,não
Heloisa Ribeiro,00029920863,"Aeroporto Pedro Lucas da Costa, 51
Vila Ipiranga
55912-504 da Paz do Amparo / AP",+55 31 1199 8772,manuellapeixoto@example.net,"Aeroporto Pedro Lucas da Costa, 51
Vila Ipiranga
55912-504 da Paz do Amparo / AP","Praça da Mata, 56
Dom Silverio
92792-270 Farias / AL",2000,3,não
Maysa Pacheco,11850576920,"Largo Isaque da Rosa, 76
Vila Jardim Alvorada
59341236 Cavalcante do Galho / PI",(031) 5560-1121,otavio55@example.net,"Largo Isaque da Rosa, 76
Vila Jardim Alvorada
59341236 Cavalcante do Galho / PI","Rua Lara Borges, 59
São Marcos
89081007 Ferreira Paulista / PB",5000,5,sim
Srta. Cecilia Rodrigues,78660575404,"Chácara Luiz Miguel Fogaça, 628
Vila Nova Cachoeirinha 2ª Seção
26125084 Siqueira / RS",(051) 7405-4896,luiz-henrique61@example.net,"Chácara Luiz Miguel Fogaça, 628
Vila Nova Cachoeirinha 2ª Seção
26125084 Siqueira / RS","Praia Porto, 922
Esperança
70292-390 Duarte do Oeste / DF",9000,4,sim
Sarah Lopes,42651929980,"Quadra de Fogaça, 6
Conjunto Paulo Vi
53627-272 Barbosa das Pedras / SP",81 9382-5919,da-rochaayla@example.com,"Quadra de Fogaça, 6
Conjunto Paulo Vi
53627-272 Barbosa das Pedras / SP","Loteamento Monteiro, 4
Céu Azul
51937-858 Novais do Campo / SE",7000,3,sim
José Pedro Lopes,55783101096,"Trevo de Viana, 6
Horto Florestal
80123390 Marques da Praia / AL",21 8610 1959,matteo98@example.net,"Trevo de Viana, 6
Horto Florestal
80123390 Marques da Praia / AL","Viaduto Dias
Túnel De Ibirité
75764-551 Gonçalves / AC",2000,3,não
Pedro Vasconcelos,47094317955,"Largo Amanda Teixeira, 10
Jardim Do Vale
11802299 Correia / TO",31 5354 5898,rodrigo14@example.org,"Largo Amanda Teixeira, 10
Jardim Do Vale
11802299 Correia / TO","Fazenda de Brito, 47
Santa Amelia
31848-215 Pereira de Goiás / SE",8000,5,sim
Yasmin Brito,46165039157,"Recanto Mendes, 57
Califórnia
08138-906 Porto / TO",+55 41 4142-5950,heloisafreitas@example.net,"Recanto Mendes, 57
Califórnia
08138-906 Porto / TO","Pátio de Campos, 96
Mala E Cuia
41758-939 Mendes de Rocha / PB",9000,5,sim
Ravy Sampaio,65330173814,"Recanto Vasconcelos, 655
Trevo
43011-832 das Neves / TO",+55 71 7829-9394,mouraisadora@example.net,"Recanto Vasconcelos, 655
Trevo
43011-832 das Neves / TO","Avenida de Nascimento, 43
Jardim Do Vale
83465-772 Cassiano dos Dourados / SE",2000,3,sim
Sra. Raquel Castro,90213617107,"Passarela de Peixoto
Serrano
92375714 da Rosa / MS",(071) 7200-4702,guilherme38@example.net,"Passarela de Peixoto
Serrano
92375714 da Rosa / MS","Passarela de Vieira, 64
Conjunto Califórnia I
35035505 Gonçalves Grande / MT",9000,4,não
Benjamin Azevedo,13586056023,"Vereda de Azevedo, 54
Carmo
71933-637 Campos Grande / ES",81 7105 9384,catarina17@example.com,"Vereda de Azevedo, 54
Carmo
71933-637 Campos Grande / ES","Área Gonçalves, 7
Carlos Prates
90254-373 Cirino / GO",8000,4,não
Marcelo Gonçalves,38517762241,"Loteamento Benicio Pires, 45
Silveira
93305-584 Aragão de Farias / MG",(031) 9503 8693,ramosluiza@example.com,"Loteamento Benicio Pires, 45
Silveira
93305-584 Aragão de Farias / MG","Avenida Luiz Fernando Sousa, 375
Jardim Vitoria
10166-702 Pacheco / AL",5000,3,não
Elisa Rodrigues,96939340087,"Via de Farias
Jardim Do Vale
51899019 Novais do Oeste / AC",+55 11 0454 6305,monteirobryan@example.com,"Via de Farias
Jardim Do Vale
51899019 Novais do Oeste / AC","Rodovia Cecília Pinto, 79
Delta
56222600 Siqueira / AM",9000,4,sim
Theo Ribeiro,77035752080,"Vereda de Moraes, 48
Santo Antônio
81416010 Nunes / TO",(071) 4515-3259,juan71@example.com,"Vereda de Moraes, 48
Santo Antônio
81416010 Nunes / TO","Setor de Montenegro
Serra Verde
09226-110 Nunes / RJ",9000,1,sim
Brenda Rocha,04942553155,"Trevo de Barros, 60
Centro
47806-249 Novaes da Mata / AP",(041) 8509-6127,abreuguilherme@example.com,"Trevo de Barros, 60
Centro
47806-249 Novaes da Mata / AP","Recanto Luísa da Paz
São Vicente
37891-751 Pinto de Ramos / SE",8000,1,sim
Zoe da Cunha,83335928489,"Estrada Porto, 9
Vila Antena Montanhês
12024313 Dias do Oeste / RO",+55 31 1968-0984,bento57@example.net,"Estrada Porto, 9
Vila Antena Montanhês
12024313 Dias do Oeste / RO","Feira Asafe Cavalcanti, 376
Suzana
91342523 Cirino / SE",3000,3,não
Agatha da Conceição,74346945648,"Lagoa Ana Sophia Fonseca, 4
Aarão Reis
76576-699 Sousa / GO",+55 (031) 5924 1229,jcastro@example.net,"Lagoa Ana Sophia Fonseca, 4
Aarão Reis
76576-699 Sousa / GO","Viaduto Laura Pereira, 4
Camponesa 2ª Seção
97527-501 Duarte do Campo / BA",1000,1,sim
Maria Isis Cunha,41837667378,"Área de Camargo, 92
Pousada Santo Antonio
99618166 Silveira / MT",(071) 0167 7239,joanacaldeira@example.net,"Área de Camargo, 92
Pousada Santo Antonio
99618166 Silveira / MT","Jardim Lucas da Mota, 47
João Alfredo
53874025 Moraes / SP",7000,2,não
João Felipe Macedo,99187046751,"Conjunto Yan Moreira, 6
Conjunto Santa Maria
40671385 Porto do Sul / RS",+55 (051) 0850-9450,cborges@example.org,"Conjunto Yan Moreira, 6
Conjunto Santa Maria
40671385 Porto do Sul / RS","Passarela Apollo Cardoso, 631
Salgado Filho
87652-769 Cavalcanti / AP",3000,5,sim
Raquel Moura,63328437563,"Recanto de Gonçalves
Aguas Claras
96613-537 Melo / PI",(071) 4326-8161,danilomacedo@example.net,"Recanto de Gonçalves
Aguas Claras
96613-537 Melo / PI","Aeroporto de Dias, 30
Santa Rita De Cássia
42455933 Cunha / RO",7000,4,não
Caio Pacheco,30397255640,"Alameda Costa, 7
Padre Eustáquio
92660-294 Martins de Gonçalves / PI",21 3707-7114,nda-cruz@example.com,"Alameda Costa, 7
Padre Eustáquio
92660-294 Martins de Gonçalves / PI","Praia Duarte, 447
Madre Gertrudes
51087-034 Ferreira de Teixeira / SE",2000,2,sim
Benjamim Pastor,30318500255,"Passarela de Ramos, 27
Vila Paraíso
11433241 da Rocha / ES",0900-077-2483,ofogaca@example.com,"Passarela de Ramos, 27
Vila Paraíso
11433241 da Rocha / ES","Quadra de Pacheco, 18
Paulo Vi
48900371 Vargas / MG",1000,1,sim
Arthur Miguel Porto,47918407635,"Rua Ayla Ramos, 962
Anchieta
71145-125 Correia / RO",(031) 6043 7242,da-rosakevin@example.com,"Rua Ayla Ramos, 962
Anchieta
71145-125 Correia / RO","Rua de Dias, 103
Vila Tirol
08790-145 Nascimento Grande / GO",10000,5,sim
Enzo Gabriel Borges,98976687644,"Distrito Nathan Casa Grande, 9
Camponesa 2ª Seção
80389129 Duarte / PI",41 8912-9869,maria-luiza59@example.org,"Distrito Nathan Casa Grande, 9
Camponesa 2ª Seção
80389129 Duarte / PI","Passarela Ana Carolina Sales
Santa Amelia
55857-675 Rezende / AL",6000,4,sim
Henry Vieira,97297099200,"Morro de Rocha, 916
Barão Homem De Melo 2ª Seção
48438942 da Costa / AM",+55 11 4980-2591,ferreiraanthony-gabriel@example.com,"Morro de Rocha, 916
Barão Homem De Melo 2ª Seção
48438942 da Costa / AM","Campo Joaquim Sampaio
Canaa
43728403 Camargo / RO",5000,2,não
Oliver da Cunha,76529941526,"Campo Novais, 34
Planalto
61227473 Cunha do Oeste / PR",(041) 8689 4789,pazevedo@example.org,"Campo Novais, 34
Planalto
61227473 Cunha do Oeste / PR","Largo de Castro, 74
Vila Paraíso
44519-691 Cavalcanti / ES",5000,1,não
Kaique Novaes,88526692215,"Passarela Marcelo Pinto, 64
Vila Nossa Senhora Do Rosário
66073382 Macedo / AM",+55 (031) 8085 5143,abreuravi@example.org,"Passarela Marcelo Pinto, 64
Vila Nossa Senhora Do Rosário
66073382 Macedo / AM","Trevo Sampaio
Vila Trinta E Um De Março
43270043 Lopes / AP",5000,2,sim
Sofia Macedo,88892474106,"Chácara Pietra Jesus
Nossa Senhora Da Aparecida
42429188 Andrade / MS",51 6550 8780,osilveira@example.com,"Chácara Pietra Jesus
Nossa Senhora Da Aparecida
42429188 Andrade / MS","Vale Garcia, 60
Suzana
18649876 Leão / PI",8000,1,não
Diego da Mota,73141784103,"Jardim Maria Alice Peixoto, 58
São Jorge 1ª Seção
35341947 Andrade / SP",(081) 2828 0207,luiz-fernando95@example.com,"Jardim Maria Alice Peixoto, 58
São Jorge 1ª Seção
35341947 Andrade / SP","Feira Laura Caldeira, 31
Boa Viagem
80828934 Sá do Norte / MS",7000,3,não
Laís Lima,35164637080,"Chácara da Mota, 566
Antonio Ribeiro De Abreu 1ª Seção
94058-353 Mendes / AP",(084) 4336 7952,correialuna@example.net,"Chácara da Mota, 566
Antonio Ribeiro De Abreu 1ª Seção
94058-353 Mendes / AP","Campo Pires
Bacurau
22767-686 Borges / PE",6000,3,sim
Lavínia Novaes,88536685128,"Estação Thomas Pimenta, 70
Buraco Quente
53966902 Rios / CE",+55 31 4470-8994,cardosogustavo-henrique@example.org,"Estação Thomas Pimenta, 70
Buraco Quente
53966902 Rios / CE","Núcleo de Moreira, 6
Guarani
19292-459 Costa de Marques / RR",8000,1,sim
Luiz Miguel Campos,05956367805,"Núcleo Ian Porto, 46
Cônego Pinheiro 1ª Seção
41133829 Caldeira / RR",+55 31 9716-8206,milena08@example.com,"Núcleo Ian Porto, 46
Cônego Pinheiro 1ª Seção
41133829 Caldeira / RR","Parque Valentina Duarte, 752
Penha
44483791 Câmara de Goiás / AC",5000,4,não
Sra. Agatha Albuquerque,85722690533,"Rua de Siqueira, 98
Cachoeirinha
09905332 Nunes das Flores / PI",(011) 1800-2259,bernardomendes@example.net,"Rua de Siqueira, 98
Cachoeirinha
09905332 Nunes das Flores / PI","Travessa Breno Freitas, 17
Distrito Industrial Do Jatoba
71093-738 Pimenta do Sul / SP",10000,4,não
Stella Rodrigues,55081278609,"Loteamento Machado
Capitão Eduardo
41135-767 Teixeira de Macedo / PI",+55 (071) 5288-0731,albuquerquesophie@example.net,"Loteamento Machado
Capitão Eduardo
41135-767 Teixeira de Macedo / PI","Núcleo Mariane da Paz, 3
Glória
27189376 Freitas / SE",6000,5,sim
Lara Vasconcelos,64678313902,"Fazenda Levi Macedo, 19
Dona Clara
21268-253 Abreu de Minas / RO",61 3942 9698,marina15@example.org,"Fazenda Levi Macedo, 19
Dona Clara
21268-253 Abreu de Minas / RO","Distrito Rezende, 7
São Gonçalo
56477290 Sá / AM",3000,5,sim
Sr. Vinícius Brito,17930036108,"Rua Ana Clara Sousa
Marajó
80643555 Sá / DF",(051) 7134 1533,noah78@example.net,"Rua Ana Clara Sousa
Marajó
80643555 Sá / DF","Sítio Dante Nunes, 54
Corumbiara
09983-582 Guerra Verde / PE",3000,1,não
Mariah Moraes,05225466412,"Alameda Fernandes, 6
Conjunto Santa Maria
79115060 Rezende de Costa / MT",+55 71 5811-1055,ysiqueira@example.com,"Alameda Fernandes, 6
Conjunto Santa Maria
79115060 Rezende de Costa / MT","Avenida de Teixeira, 61
Vila Nova Cachoeirinha 1ª Seção
37258025 Mendes do Galho / GO",6000,3,não
Davi Novaes,35766670163,"Alameda Fogaça, 187
Varzea Da Palma
20107-067 Teixeira de Castro / PI",+55 (031) 9285-1929,luiz-fernandodas-neves@example.org,"Alameda Fogaça, 187
Varzea Da Palma
20107-067 Teixeira de Castro / PI","Distrito Casa Grande, 64
São Jorge 1ª Seção
31631-022 Guerra de Rios / MA",2000,2,não
Igor Machado,72627099502,"Avenida Rodrigues, 26
Vila Nova Cachoeirinha 2ª Seção
89604122 Vasconcelos de Ribeiro / PA",+55 (081) 9629 0717,heitorramos@example.net,"Avenida Rodrigues, 26
Vila Nova Cachoeirinha 2ª Seção
89604122 Vasconcelos de Ribeiro / PA","Fazenda Aparecida, 11
São Benedito
32461-950 Sá de Minas / PE",2000,5,sim
Dante Borges,45393330209,"Estação Garcia, 42
Paquetá
89770422 Oliveira de Minas / PA",+55 41 0399-7999,melissamoraes@example.com,"Estação Garcia, 42
Paquetá
89770422 Oliveira de Minas / PA","Vila Ian Dias, 23
Silveira
65746-981 Pereira Paulista / PB",4000,1,sim
Dr. Luiz Felipe Marques,57678488828,"Lagoa Cassiano, 28
Maria Tereza
61962-982 Sampaio / SC",(071) 1388 1567,rcosta@example.net,"Lagoa Cassiano, 28
Maria Tereza
61962-982 Sampaio / SC","Recanto Enzo Gabriel Peixoto, 42
Custodinha
42092-524 Silva das Flores / DF",3000,3,não
Hellena Ribeiro,57056589583,"Condomínio de Barros
Flavio Marques Lisboa
28053-451 Casa Grande de Porto / DF",+55 (084) 3600-2338,calebe26@example.com,"Condomínio de Barros
Flavio Marques Lisboa
28053-451 Casa Grande de Porto / DF","Campo de Silva, 5
Delta
62556028 Almeida dos Dourados / ES",6000,4,não
Thiago Barros,89291820623,"Avenida de Fernandes, 55
Santa Lúcia
42461-534 da Rosa / AC",(011) 9365-2905,mendoncagael@example.org,"Avenida de Fernandes, 55
Santa Lúcia
42461-534 da Rosa / AC","Avenida Aparecida, 872
Conjunto Califórnia I
38405733 Pinto / MT",4000,2,sim
Augusto Costela,48572541901,"Rodovia de Siqueira, 4
Acaba Mundo
69687986 Fonseca de Sá / PE",61 8678-1911,rodrigocasa-grande@example.org,"Rodovia de Siqueira, 4
Acaba Mundo
69687986 Fonseca de Sá / PE","Lagoa de Borges, 559
Guaratã
12319-017 Nunes / TO",1000,5,não
Rafaela Sampaio,44179672029,"Setor de Aragão, 7
Estoril
46426141 Costa de Moura / PR",+55 31 9711 8177,camposana-beatriz@example.com,"Setor de Aragão, 7
Estoril
46426141 Costa de Moura / PR","Praia Ribeiro, 66
Flamengo
36442-377 Silva de Rocha / CE",4000,4,não
Jade Peixoto,81825739638,"Setor Guerra, 40
Serra Do Curral
63357223 Ferreira / TO",11 7102 2874,srocha@example.com,"Setor Guerra, 40
Serra Do Curral
63357223 Ferreira / TO","Ladeira Antônio Siqueira
Marmiteiros
32256192 Alves Paulista / GO",5000,4,não
Maria Helena Aparecida,72702075770,"Rodovia de Machado, 44
Vila São Dimas
03307416 Cavalcanti de Minas / CE",0300 988 1204,laura82@example.net,"Rodovia de Machado, 44
Vila São Dimas
03307416 Cavalcanti de Minas / CE","Campo de Campos
Eymard
74190-668 Mendes / RR",8000,3,não
Srta. Carolina Aragão,98045547042,"Trecho de Ramos, 34
Buritis
91382107 Moura / PA",0800 889 9412,enzo-gabriel14@example.org,"Trecho de Ramos, 34
Buritis
91382107 Moura / PA","Favela Santos, 10
Vila Tirol
80078177 Fernandes / MT",1000,1,sim
Cecilia Caldeira,38461124455,"Alameda Camargo, 1
Alpes
42441577 Moreira de Goiás / MG",(011) 5046 9311,caroline97@example.org,"Alameda Camargo, 1
Alpes
42441577 Moreira de Goiás / MG","Vale Alexia Lima, 2
Conjunto Jardim Filadélfia
11294447 Novaes dos Dourados / AP",5000,3,não
Lara Costa,95638604546,"Esplanada Felipe Fogaça
Vila Engenho Nogueira
28607729 da Mota das Flores / BA",0500 810 0312,peixotofernando@example.com,"Esplanada Felipe Fogaça
Vila Engenho Nogueira
28607729 da Mota das Flores / BA","Passarela Luna Aragão, 182
Conjunto Minas Caixa
24782180 Siqueira / PE",7000,2,sim
Gael Henrique Barbosa,23022901860,"Avenida Liam Machado, 29
Miramar
44748312 Barbosa de Minas / RN",71 7370 9432,aparecidatheo@example.com,"Avenida Liam Machado, 29
Miramar
44748312 Barbosa de Minas / RN","Passarela Garcia, 943
São Francisco
26652-970 Rodrigues dos Dourados / PE",5000,2,não
Luiz Fernando Pimenta,41509734740,"Condomínio Marques, 6
Aarão Reis
57780010 Abreu de Nascimento / RR",(051) 6299 8428,aylacirino@example.org,"Condomínio Marques, 6
Aarão Reis
57780010 Abreu de Nascimento / RR","Viela Maria Julia da Paz, 833
Zilah Sposito
17978-353 da Costa / RS",1000,1,sim
Manuella Gonçalves,14831690818,"Jardim Ana Liz Leão
Vila Madre Gertrudes 3ª Seção
00244-910 Lima / PI",+55 51 1230 9709,barbaragomes@example.org,"Jardim Ana Liz Leão
Vila Madre Gertrudes 3ª Seção
00244-910 Lima / PI","Vale de Barros, 3
Conjunto Serra Verde
28998-086 Garcia de Minas / AM",10000,4,sim
Levi Moraes,96965731114,"Aeroporto Peixoto
Leonina
10128552 Marques do Amparo / PI",81 7793 3558,rsilva@example.com,"Aeroporto Peixoto
Leonina
10128552 Marques do Amparo / PI","Ladeira de Montenegro
Milionario
79459-071 Martins / AP",2000,1,sim
Maria Fernanda Nogueira,11489366880,"Esplanada Borges
Vila Cemig
17078638 Oliveira da Serra / AC",31 3922 4420,siqueiravitor-gabriel@example.com,"Esplanada Borges
Vila Cemig
17078638 Oliveira da Serra / AC","Trevo de Cunha
Vila Cemig
61226574 Cardoso do Sul / RR",9000,5,sim
Sra. Sophia Duarte,12107414660,"Sítio Marcelo Fernandes, 25
Belmonte
94645-127 Rios / AL",+55 71 7002-7441,marquesmurilo@example.net,"Sítio Marcelo Fernandes, 25
Belmonte
94645-127 Rios / AL","Setor da Conceição, 37
Nossa Senhora Da Aparecida
66734-784 Dias de Goiás / PR",6000,1,sim
Ana Carolina Viana,22064785280,"Conjunto Theodoro Silva, 7
Caiçara - Adelaide
15571-653 Gomes do Amparo / MT",(011) 7393 9892,paulo85@example.net,"Conjunto Theodoro Silva, 7
Caiçara - Adelaide
15571-653 Gomes do Amparo / MT","Quadra de Almeida, 2
Vila Santa Monica 2ª Seção
68025-051 Cavalcante / MS",7000,3,sim
Sra. Jade Pinto,80287646490,"Loteamento de Porto, 96
Marieta 1ª Seção
50936802 da Mota de Casa Grande / MT",+55 (081) 1521 5854,hadassabarbosa@example.org,"Loteamento de Porto, 96
Marieta 1ª Seção
50936802 da Mota de Casa Grande / MT","Viaduto Eloá Moraes, 42
Juliana
48949-134 da Mota Grande / AC",3000,1,sim
Maria Sophia Silva,60190358245,"Largo Bento Cassiano, 10
Lorena
46419830 Siqueira / CE",+55 21 4173 6029,jazevedo@example.org,"Largo Bento Cassiano, 10
Lorena
46419830 Siqueira / CE","Viela de Oliveira, 17
Santana Do Cafezal
99649560 Cavalcanti Verde / AC",7000,5,sim
Dr. Otávio Farias,53063104784,"Rua Letícia Castro, 86
Liberdade
34513-601 da Mota / PB",+55 11 1701-2229,correiavitor-gabriel@example.net,"Rua Letícia Castro, 86
Liberdade
34513-601 da Mota / PB","Sítio Otto Peixoto, 118
Ouro Preto
63816-945 Barros de Viana / DF",2000,5,não
Sr. Nathan Gomes,65904441022,"Trevo Silva, 191
Madri
05339-213 da Cruz do Campo / AL",+55 (084) 8733-2879,davi-luccagoncalves@example.net,"Trevo Silva, 191
Madri
05339-213 da Cruz do Campo / AL","Conjunto de Cassiano, 70
Horto Florestal
79513-665 Siqueira / SE",7000,1,sim
Vitor Gabriel Pacheco,33047069177,"Lagoa de Moreira, 90
Caetano Furquim
95572-826 Cirino / PR",+55 51 1806 4389,sda-conceicao@example.net,"Lagoa de Moreira, 90
Caetano Furquim
95572-826 Cirino / PR","Largo Rezende, 182
Cruzeiro
43568456 da Mata do Campo / GO",6000,1,não
Leonardo Pereira,02344031870,"Pátio Lunna Ramos, 11
Santa Maria
33222-538 Siqueira de da Cruz / SP",41 0608-7345,rebecaazevedo@example.com,"Pátio Lunna Ramos, 11
Santa Maria
33222-538 Siqueira de da Cruz / SP","Campo Fogaça, 41
Estrela
91408-950 Abreu de Monteiro / MA",3000,5,não
Dr. Pietro Andrade,66510378620,"Área de Porto, 87
Providencia
48413-976 Machado / RN",84 1055 1488,hadassa17@example.com,"Área de Porto, 87
Providencia
48413-976 Machado / RN","Largo de Costela, 95
Vila Olhos D'água
26365066 Rezende do Sul / SC",3000,2,não
Antony Vasconcelos,46254412500,"Lago de Mendes, 60
Liberdade
40783-169 Borges / SC",+55 (041) 6411-6045,aragaogiovanna@example.org,"Lago de Mendes, 60
Liberdade
40783-169 Borges / SC","Parque Gonçalves, 715
Conjunto Floramar
87017-040 Cavalcante do Sul / RR",4000,5,sim
Ana Julia Brito,76919327582,"Pátio de Farias, 96
Aguas Claras
95350818 Ferreira / AP",+55 (071) 6657 9395,monteirosophie@example.com,"Pátio de Farias, 96
Aguas Claras
95350818 Ferreira / AP","Praça Maria Sophia Rocha, 61
Rio Branco
39536-109 Carvalho de Goiás / BA",7000,3,não
Dra. Mariana Costela,04747868112,"Via de das Neves, 911
Santa Amelia
58350378 Peixoto do Norte / SP",0800 198 8518,gabrielacaldeira@example.com,"Via de das Neves, 911
Santa Amelia
58350378 Peixoto do Norte / SP","Favela Laís Araújo, 418
São Cristóvão
91046002 da Mota / GO",3000,5,sim
Gael Albuquerque,95234938335,"Avenida Casa Grande, 86
Estrela
00918-727 Vargas do Campo / SP",21 2371-7304,thomasbarros@example.com,"Avenida Casa Grande, 86
Estrela
00918-727 Vargas do Campo / SP","Distrito Bárbara Fogaça, 88
Santa Lúcia
21314-838 Cirino / SE",1000,3,não
Bernardo Rios,62381069136,"Núcleo Barros, 119
Chácara Leonina
48202564 Leão / PE",(071) 2362-0038,fernanda43@example.com,"Núcleo Barros, 119
Chácara Leonina
48202564 Leão / PE","Alameda da Cruz, 21
Santa Terezinha
36530223 Azevedo / AC",5000,3,sim
Alexandre Montenegro,71640004920,"Loteamento de Caldeira
Vila Rica
50506-544 da Mota das Flores / MG",(041) 0969-9171,ana39@example.com,"Loteamento de Caldeira
Vila Rica
50506-544 da Mota das Flores / MG","Área Lima, 71
Vila Nova Dos Milionarios
68173532 da Conceição Grande / AC",5000,4,sim
Larissa Rodrigues,49995692995,"Setor Almeida, 705
Maria Virgínia
53183-565 da Mota de da Cunha / GO",(021) 5317-2446,sofianovais@example.net,"Setor Almeida, 705
Maria Virgínia
53183-565 da Mota de da Cunha / GO","Quadra Pires, 81
Nossa Senhora Da Aparecida
03162-728 Aparecida do Amparo / CE",4000,3,não
Emilly Cavalcanti,58148706724,"Jardim de Lima
Centro
81556-570 Vargas Grande / PB",(011) 2118-1942,franciscomendes@example.org,"Jardim de Lima
Centro
81556-570 Vargas Grande / PB","Condomínio de da Cunha, 3
Paraíso
86787-897 Martins do Galho / SC",1000,1,sim
Laura Melo,82491736007,"Quadra Vieira, 86
Glória
11643-080 Castro / MS",(031) 4886-5424,ypereira@example.net,"Quadra Vieira, 86
Glória
11643-080 Castro / MS","Residencial de Andrade, 1
Álvaro Camargos
12467015 Abreu / CE",8000,3,sim
Maya Fonseca,84873613231,"Morro Théo Martins, 21
Conjunto Serra Verde
60555560 Viana / PB",+55 (021) 2544-8449,rcavalcante@example.net,"Morro Théo Martins, 21
Conjunto Serra Verde
60555560 Viana / PB","Viela das Neves, 74
Solimoes
25557887 Moraes do Norte / RO",3000,3,sim
Luiz Felipe Pimenta,52985567609,"Trevo Garcia, 42
Santa Cruz
18883-781 da Conceição / RO",(071) 7024 1937,olivia86@example.com,"Trevo Garcia, 42
Santa Cruz
18883-781 da Conceição / RO","Favela Fogaça, 3
Saudade
63472373 Silveira / MT",5000,2,sim
